Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links
House,Stone,140 sq.m.,2,5,1,,1 spot,Euro Renovation,800 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Lorri › Margahovit,"80,000 ֏ monthly",AMD,"The house is located in the center of the village. There is a kindergarten, school, shops in the nearby area.There are fruit trees on the plot.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18370919
House,Stone,1000 sq.m.,2,4,1,,,Major Renovation,,,,,,,Lorri › Stepanavan,"50,000 ֏ daily",AMD,"Code 0186Private house for daily rent in Stepanavan1 day: 50,000 drams...Read the full description of the house, terms and conditions, down payment rulesA private house is for daily rent in DilijanThe house is provided on a daily basis50,000 drams per dayBedroom: 3 pcsLiving room with 2 sofa bedsBathroom and bathtub: 2 pcsPatio pavilion barbecue with its bottles; internet, parking, bed linen and towels, kitchen, kitchen appliances, kitchen utensils, heating,Provisions+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14475560
House,Stone,170 sq.m.,2,3,2,,,Major Renovation,400 sq.m.,6,Yes,No,By Agreement,By Agreement,"Րաֆֆու փողոց 59, Ստեփանավան","30,000 ֏ daily",AMD,"A house is for daily rent in Stepanavan. It has 3 rooms, 2 bathrooms, 2 balconies, constant hot and cold water. Thoroughly reconstructed.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17891517
Country House,Stone,100 sq.m.,2,2,1,Available,Not available,Old Renovation,1500 sq.m.,6,Yes,Yes,By Agreement,By Agreement,Lorri › Alaverdi,100 ֏ monthly,AMD,"I have an apartment in Lori Marz, Jiliza village, two-story, with gardens for a garage, productive trees. I can make an agreement to renovate it. Two-room apartment is very big, but I can make 4 rooms. I also have a hectare of land. It has a kitchen and a new bathroom. But I need to make the outside inside. It is very suitable as a nursing home, I will sell it for a long time. I will also work with the organization. There are also many attractions. The house is located 190 kilometers away from the city. I can furnish it. Refrigerator, washing machine, refrigerator, etc.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17675091
House,Stone,200 sq.m.,2,4,1,,,Partial Renovation,1500 sq.m.,,,,,,Lorri › Spitak,"85,000 ֏ monthly",AMD,"Здаётся дом есть сад, сарай, гараж, свет, вода, всё что необходимо",Nov-24-2022_23-03,,,https://list.am/en/item/18094397
House,Stone,350 sq.m.,2,6,2,Available,3 or more spots,Major Renovation,1200 sq.m.,8+,Yes,Yes,Not included,By Agreement,Lorri › Stepanavan,"25,000 ֏ daily",AMD,"A two-storey private house with all communal facilities is for daily rent in Stepanavan.1st floor... Bathroom, spacious kitchen and living room2nd floor... Bathroom, 4 bedrooms, open balcony.The house is located next to the Pines. 100 meters away from Aleya Park.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17643519
Country House,Stone,100 sq.m.,2,3,2,,,Major Renovation,,,,,,,Lorri › Stepanavan,"10,000 ֏ daily",AMD,"Family recreation area HOTEL Sochi Resort Stepanavan for 4-6 people, swimming pool, pavilions, playground, restaurant... The hotel is designed for 30 people.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/11457867
Country House,Stone,150 sq.m.,1,6,3+,Available,Not available,Designer Renovation,1200 sq.m.,8+,Yes,No,By Agreement,By Agreement,"Ստեփան Զորյանի փողոց 15, Վանաձոր","40,000 ֏ daily",AMD,"Сдаю квартиру в арендуՕրավարձով հյուրատուն Վանաձորում40.000, Վանաձորի կենտրոնումԸնդհանուր 1200 քմ տարածքով1. 4 ննջասենյակ յուրաքանչուրը 25 քմ իրենց սանհանգույցով, լոգարանով, հեռուստացույցներով, սառնարաններով2. 50 քմ առանձին ճաշասենյակ իր խոհանոցով3. 2 տաղավար 60 քմ իր խոհանոցով և 25 քմ4. Խորովածանոց իր բոլոր հարմարություններով5. Ավտոկայանատեղի մի քանի մեքենայի համար6. U! Com WIFI7. Սեղանի Թենիս, ՏրինաժորGoogle 360 view link https://www.google.com/maps/@40.8112094,44.476...Օրավարձ օրավարձով վարձով հյուրանոց հյուրատուն посуточно дом квартира Сдаю квартиру rent for rent сдаю квартиру dilijan dilijanum դիլիջան դիլիջանում гостевой дом",Nov-24-2022_23-03,,,https://list.am/en/item/17471227
House,Stone,250 sq.m.,2,4,2,,,Major Renovation,500 sq.m.,,,,,,"Surb Nshan street, Stepanavan",100 ֏ daily,AMD,"A house is for daily rent in Stepanavan, capitally renovated, with a beautiful yard and barbecue. It is located in the central part of the city, near the forest. The price is negotiable.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17915360
Country House,Stone,100 sq.m.,1,3,1,,,Designer Renovation,100 sq.m.,,,,,,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"Summer house in Stepanavan, with all facilities, possible with monthly paymentTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17722047
Country House,Stone,150 sq.m.,2,4,1,,,Cosmetic Renovation,1000 sq.m.,,,,,,Lorri › Stepanavan,"4,000 ֏ daily",AMD,"A summer house is for daily rent in Vardablur, 10 km away from Stepanavan, near Dendropark. The summer house is cosmetically renovated, has all the communal facilities, the balcony has a beautiful view of the lakes, has a large plot of land with a beautiful garden.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16250150
Country House,Stone,100 sq.m.,2,5,3+,Available,3 or more spots,Designer Renovation,180 sq.m.,8+,Yes,Yes,Included,By Agreement,"Բաղրամյան փողոց 95, Ստեփանավան","10,000 ֏ daily",AMD,"We are opening our Hospitality Doors in Stepanavan, a new and luxurious two-storey guest house, which has all the facilities for complete relaxation, has a comfortable yard, indoor and outdoor pavilions, five modern bedrooms with separate bathrooms, a large beautiful kitchen with a barbecue. The guest house also has a sauna, an indoor swimming pool, a bathroom and an antique museum dining room. The guest house also has a parking lot. The guest house is located on the central street. For price and details, call the indicated number. Wi-Fi connectionTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17871135
Country House,Stone,250 sq.m.,2,6,2,,,Designer Renovation,"10,000 sq.m.",,,,,,Lorri › Vanadzor,"50,000 ֏ daily",AMD,"Guest house for rent in ArjahovitThe house has 3 bedroomsOn the 1st floor is the dining room, the kitchen, the bathroom.On the 2nd floor are the bedrooms and the bathroom.Equipped with all utilities.Bedding is provided.Overnight accommodation for up to 10 people is planned.Wi-Fi is available.The guest house is located in Arjhovit (former Ghursali) village, on the right side of the 6th kilometer of Spitak-Vanadzor road.St. Is located in the center of the village. Gevorg Church: Built in the 6th century. The guest house is 1.5 km away from the road. Arjhovit is one of the most scenic places in Lori and stands out for its wonderful nature scenes.The price is 50,000 - 100,000Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17411780
Country House,Stone,1200 sq.m.,1,4,1,Available,3 or more spots,Major Renovation,1000 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Lorri › Stepanavan,"25,000 ֏ daily",AMD,"Օրավարձով 3 ննջարանով առանձնատուն Ստեփանավանում3 ննջարանտաք/սառը ջուրբնական գազանհատական ջեռուցման համակարգկահույք տեխնիկասպասք անկողնային պարագաներարդուր վարսահարդարիչ50-60անձի հարմարություն7-10 գիշերակացով20 անձի սպասք140կմ Երևանից2-2,5 ժամԳԻՆԸ ՓՈՓՈԽԱԿԱՆ ԿԱԽՎԱԾ ՕՐԵՐԻ ԱՆՁԵՐԻ ՔԱՆԱԿԻՑ։Կոդ A-007",Nov-24-2022_23-03,,,https://list.am/en/item/14948028
House,Stone,428 sq.m.,3,5,1,By agreement,2 spots,Partial Renovation,638 sq.m.,3,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"150,000 ֏ monthly",AMD,"Находится в тихом и одновременно в центральной части города, построено после землетрясения, есть всё для необходимости (мебель техника посуда) есть постаянная вода, электричество, газ, эсть ещё участок где можно посидеть и наслаждаться горным экологическим воздухом.",Nov-24-2022_23-03,,,https://list.am/en/item/18352263
House,Stone,130 sq.m.,1,4,1,,,Major Renovation,1400 sq.m.,,,,,,Lorri › Pushkino,"20,000 ֏ daily",AMD,"Здается дом в живописном месте. Капитальным ремонтом. Все вещи и постельные принодлежности новые, есть все удобства для проживания 6 человек. Во дворе имеется две беседки. Цена от 20000-15000 драм, зависит от дней проживания. Знаменитый Степонаванский ""Дендропарк"" в десяти минутах езды. Остальная информация по телефону.",Nov-24-2022_23-03,,,https://list.am/en/item/17728441
House,Stone,60 sq.m.,1,3,2,Available,Not available,Major Renovation,600 sq.m.,7,Yes,No,Included,By Agreement,"Forest Street, Stepanavan","25,000 ֏ daily",AMD,"Spend some memorable days in fairytale Stepanavan.Newly built 3-room detached house in the Forest district of Stepanavan, near the famous Alea Park (only 5 minutes on foot)The house is completely renovated, equipped with necessary property and equipment: TV, music center with AUX system, refrigerator, electric kettle, electric stove (stove), washing machine, vacuum cleaner, hair dryer.High-speed WI-FI internet connection is available in the house.The house is provided with constant hot and cold water.THE HOUSE IS HEATING.Clean linen is available (you can bring your own if you wish) The kitchen is equipped with necessary utensils. The bathroom has all the necessary accessories.In the yard there is a beautiful pavilion (bisedka), a swing, a grill, there is wood for making barbecue (FREE)The whole area of the house is fenced, it is possible to park two cars.With the help of a special map available at home, you can get to know the nearby attractions and their distances in order to better organize your weekend.There are shops nearby, ready food delivery services are available in the city.DEPENDING ON THE NUMBER OF PEOPLE AND THE NUMBER OF DAYS OF STAY, THERE ARE DISCOUNTS.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16695166
House,Stone,150 sq.m.,2,4,1,Available,Not available,Euro Renovation,,8+,Yes,Negotiable,Included,By Agreement,"Garegin Nzhdeh street, Stepanavan","25,000 ֏ daily",AMD,"In excellent condition, with all amenities, there are 3 bedrooms, one living room, one hall, a spacious kitchen, a beautiful yard, a bathroom.WiFi, SmartTV.There is constant hot-cold water, gasTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14116128
Country House,Stone,120 sq.m.,1,4,2,,,Major Renovation,800 sq.m.,,,,,,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"Full House Հյուրատունը (առանձնատուն) ապահովված է բոլոր կոմունալ հարմարություններով։Ունի 3 ննջասենյակ, 1 հյուրասենյակ, ներսում և դրսում՝ սանհանգույց։Բակում առկա է բաց և փակ տաղավարներ (բեսետկա), մանղալ, այգի, մեքենայի կայանատեղ նաև Wi-Fi։Համեցեք և վայելեք Ձեր հանգիստը Full House Հյուրատանը։Գտնվելու վայրը - 41.019080 44.383533_Full House Гостевой дом находится в городе Степанаван на левом берегу города.В доме есть все для комфортного проживания и время провождения, два санузла (один на улице другой внутри а так же и душ)В общей сложности 4 комнаты (3 Спальные комнаты, 1 Гостевая комната)Так же кухня со всеми удобствами (Есть горячая и холодная вода)Внутри участка есть беседка с мангалом где можно провести хороший вечер с семьёй.На территории есть бесплатный WI-FI.Присутствует парковка для машины.Местоположение- 41.019080 44.383533",Nov-24-2022_23-03,,,https://list.am/en/item/17777539
Country House,Stone,150 sq.m.,1,6,2,,,Major Renovation,2000 sq.m.,8+,Yes,No,Not included,1 month,Lorri › Alaverdi,"30,000 ֏ daily",AMD,"Fully renovated with all necessities, provided with constant gas and water. There is also wood.Parking lot cover. Heating System,15 or more people will be accommodated, 50,000 AMD per day from 10 peopleTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16288882
Country House,Wooden,100 sq.m.,2,5,1,,3 or more spots,Designer Renovation,,8+,Yes,Yes,Included,By Agreement,Lorri › Stepanavan,"40,000 ֏ daily",AMD,"The pollination has started...Are you looking for a nice and affordable guesthouse?So this offer is just for youIn the heart of Lori, on the shore of Lake Gargar, VANA Resort opens its hospitable doors, in the center of the world and the corner of your dreams far from the world...The recreation area is located near Dentropark, in Gargar Lakes, completely surrounded by dusty deer (10 km from Stepanavan)VANA Resort family recreation area offers you:Cottages:Pavilions, barbecueFishingWater bikesThe cottages are designed for up to 12 people with all utilities: 4 bedrooms, kitchen, living room, bathroom, large balcony, hot-cold water, gas, light, dishes, refrigerator and of course a pleasant atmosphereFrom the balcony (balcony) there is a beautiful view of the lake, from here you can feed the fish or go fishingI have already booked my cottageAnd youSo hurry up, call!Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17900690
Country House,Stone,100 sq.m.,1,3,2,Available,1 spot,Cosmetic Renovation,150 sq.m.,6,Yes,Yes,Included,By Agreement,"Մյասնիկյան փողոց 2-րդ նրբանցք 10, Ստեփանավան","25,000 ֏ daily",AMD,"Spend your vacation in the cozy corner of Stepanavan.For daily rent (25,000) The house has gas, water, electricity, all the communal facilities.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17893695
House,Stone,110 sq.m.,1,4,1,,,Euro Renovation,1200 sq.m.,,,,,,Lorri › Dzoragyugh,"60,000 ֏ daily",AMD,"Дом Отдыха в ЛориДом находится на окрине села ДзорагюхИмеет все принадлежности для отдыха. WiFi, TV, полная кухня, постельное белье. Помещает до 10 персон.Прекрасный вид на ущелие, прогулки в лесу, рыбалка. По близости знаменитые монастыри Санаин, Ахпат, Кобер, Гневанк.Органические местные сельские продукты.45000драмов в день, минииум 3 ночи.Транспорт из Еревана и обратно БЕСПЛАТНО.Հանգստյան տուն Լոռիում, Ձորագյուղում.Տունը գտնվում է գյուղի եզրին, ունի աննկարագրելի գեղեցիկ տեսարաններ:Տունը կահավորված է հանգստի համար բոլոր անհրաժեշտ պարագաներով:Սպիտակեղեն, սպասք, տարբեր ակցեսուարներ, WIFI ինտեռնետ:Մոտակայքում են հնեվանքը, Ձոտագետը, Դսեղը, Հաղպատ եվ Սանահին վանական համալիրները:Տեղական օրգանական անարատ կաթնամթերք, ձու, միս:Քայլելու արահետներ անտառում եվ մարգագետիններում:Անցկարեք չորս գիշեր մեզ մոտ եվ հինգերորդը կլինի անվճար:Պայմանավորվածության դեպքում հնարավոր է սննդի պատրաստում եվ մատուցում մեր կողմից:ՈՒրախ կլինենք Ձեզ սպասարկել:Համեցեք.",Nov-24-2022_23-03,,,https://list.am/en/item/17624336
House,Stone,100 sq.m.,2,4,2,,Not available,Euro Renovation,,3,Yes,No,Not included,1 month,"Թաթերական փողոց 1/1, Վանաձոր","250,000 ֏ monthly",AMD,The building is located in the city center. Renovated in a high quality style.Translated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/17574299
Country House,Stone,60 sq.m.,2,5,1,Available,3 or more spots,Euro Renovation,1500 sq.m.,8+,Yes,Yes,Included,By Agreement,Lorri › Gyulagarak,"6,000 ֏ daily",AMD,"The Dendro House guest house is located in the village of Gyulagarak, Lori region, on the banks of the Gargar river, 2-2.5 km from the Dendropark botanical garden.The guest house is provided with all utilities, is furnished, has a large yard, parking space, pavilion (for 30 people), wifi.The guest house has 4 bedrooms, 1 living room and 2 bathroomsSuitable for large groups.The rent of the room is 18,000 AMDPerson: 6,000 drams (with dorm version)The rent of the whole house is AMD 50,000# daily and monthlyStepanavan Gyulagarak DendroparkGulagarak ArboretumYou can also write to viber or whats app for more questions and other picturesTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16215078
Country House,Stone,100 sq.m.,2,4,1,Available,Not available,Euro Renovation,250 sq.m.,7,Yes,No,Not included,By Agreement,Lorri › Yeghegnut,"30,000 ֏ daily",AMD,"A completely newly renovated #house is for rent in Yeghegnut village, in Lorva's unworldly nature. #The guest house is very close to #Debet (3.6KM), #Dsegh (12.7KM), Haghpat (38KM), Sanahin (33KM), #Vanadzor (22KM) and #Alaverdi (29.2) cities. The summer house is provided with all communal facilities, the yard has all the conditions for a complete rest: A chat room (besetka), a barbecue, a place for gathering around a bonfire in the evening. The house has three bedrooms, living room, kitchen and bathroom. Designed for family vacations. Up to 7 people can stay overnight. Free internet WiFi is available. It is also possible to make a reservation for 10,000 drams per person.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17905432
House,Stone,110 sq.m.,2,3,1,,2 spots,Major Renovation,400 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,"Karbishev street, Vanadzor","250,000 ֏ monthly",AMD,"Задаться частный дом.Улица Мясникян.Новый ремонт.Кухня, прихожая, гостиная, две спальни.Большой гараж.Также в эту цену входит дача по соседству для семейного отдыха, 2 дня в неделе.",Nov-24-2022_23-03,,,https://list.am/en/item/18364201
Country House,Stone,100 sq.m.,1,4,1,Available,1 spot,Designer Renovation,600 sq.m.,8+,Yes,Yes,Not included,By Agreement,Lorri › Debet,"40,000 ֏ daily",AMD,"Օրավարձով տուն Լոռու մարզի ԴԵբԵտ համայնքում, 9 անձի համար, առկա է կոմունալ բոլոր հարմրություննԵրը, մշտական տաք և սառը ջուր, ջեռուցում, ունի wifi, առկա է ավտոտնակ, նաև կայանատեղի, տաղավար նախատԵսված 20-25 հոգու համար, տան մոտ է գտնվում գյուղում հոսող Դեբեդ գետը, տան պատշգամբից բացվում է գեղեցիկ բնության տեսարան տարբեր ուղղություններով։Մուտքի ժամ 14։00,ելքի ժամ 12։00։Հավելյալ հարցԵրի համար զանգԵլ նշված համարին, կամ գրԵլ: Сдается дом посуточно в селе Дебет Лорийской области, на 9 человек. Имеются все коммунальные услуги, постоянная горячая и холодная вода, отопление, гараж, парковка, павильон на 20-25 человек, и бесплатный Wi-Fi. С балкона открывается красивый пейзаж, также видна река Дебет, который образуется слиянием рек Памбак и Дзорагет. Время въезда 14:00,время выезда 12:00.По дополнительным вопросам звоните по номеру или пишите.",Nov-24-2022_23-03,,,https://list.am/en/item/16854081
Country House,Stone,110 sq.m.,1,4,1,Available,Not available,Euro Renovation,700 sq.m.,8+,Yes,No,Included,By Agreement,Lorri › Tumanyan,"15,000 ֏ daily",AMD,"Օրավարձով է տրվում ամառանոց Լոռու մարզի Թումանյան քաղաքում․Շատ գեղեցիկ սարերի տեսարան, մաքուր օդ։️ 4 սենյակ️ 1սանհանգույց️ 100 քմՎայելեք Ձեր խաղաղ հանգիստը լեռնային գեղեցիկ մթնոլորտում, Գտնվում է Երևանի կենտրոնից 150 կմ հեռավորության վրա, Վանաձորից 30 կմ։Նախատեսված է մինչև 12 մեծահասակի և 1-2 փոքրահասակի համար։Նոր վերանորոգված, շուրջօրյա տաք և սառը ջուր, առկա է՝ սառնարան, լվացքի մեքենա, թեյնիկ, սրճեփ, սպիտակեղեն, սպասք։ Հանգստի զոնա բաց պատշգամբ 20 քմ, խորոված պատրաստելու հարմարություններ, ճոճվող կամուրջ։2 անձը 15.000 դր.4 անձը 20.000 դր.6 անձը 30.000 դր.Օրավարձի գինը կախված է վարձակալած օրերի քանակից և անձանց քանակից, սեզոնից։ Մոտակայքում են գտնվում Դսեղը, Ալավերդի քաղաքը, Քոբայրի վանքը, Սանահինը, Օձունը, Աղթալայի վանքը։Tumanyan, House, Hyuratun, Guesthouse, Vanadzor, Lori, Վանաձոր, Լոռի, Vanadzor HyuratunԼոռի ամառանոց#Lori amaranocСдается посуточно летний дом в городе Туманян Лорийской области.Очень красивый вид на горы, свежий воздух.️ 4 комнаты️ 1 санузел️ 100 квадратных метровНаслаждайтесь спокойным отдыхом в красивой горной атмосфере, расположенной в 150 км от центра Еревана, в 30 км от Ванадзора.Рассчитан на 10 взрослых и 1-2 детей.Новый ремонт, круглосуточно горячая и холодная вода, в наличии: Холодильник, стиральная машина, чайник, кофеварка, постельное белье, посуда. Зона отдыха, открытая терраса 20 кв. М, мангал, разводной мостик.2 человека 15 000 др.4 человека 20 000 др.6 человек 30 000 др.Цена посуточной аренды зависит от количества арендуемых дней и количества человек, сезона.Переведено с армянского",Nov-24-2022_23-03,,,https://list.am/en/item/18075135
Country House,Stone,100 sq.m.,1,3,1,Available,Not available,Euro Renovation,600 sq.m.,8+,Yes,No,Included,By Agreement,Lorri › Tumanyan,"10,000 ֏ daily",AMD,"A summer house is for daily rent in Tumanyan town of Lori region,️ 3 rooms️ 1 bathroom️ 100 square metersEnjoy your peaceful rest in a beautiful mountain atmosphere, Located 150 km from the center of Yerevan, 30 km from Vanadzor.Designed for up to 10 adults and 1-2 minors.There is a refrigerator, washing machine, linen, dishes. Recreation area with open balcony 20 sq. M., barbecue facilities, swinging bridge.The price of the daily rent depends on the number of rented days, the number of people, the season.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17719739
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,600 sq.m.,,,,,,"Սայաթ-Նովա փողոց 3, Ստեփանավան","12,000 ֏ daily",AMD,Private house with all utilities is for daily rentTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/17714865
House,Stone,100 sq.m.,1,6,1,,,Cosmetic Renovation,500 sq.m.,,,,,,"Surb Nshan street, Stepanavan","25,000 ֏ daily",AMD,"Private house for daily rent in Stepanavan, for 4 to 14 people. There is a pavilion in the yard, a barbecue, as well as a parking lot. The price varies depending on the number of guests.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17824990
House,Stone,100 sq.m.,1,2,1,Available,1 spot,Cosmetic Renovation,60 sq.m.,6,Yes,Yes,Not included,By Agreement,"Գետափնյա փողոց 13, Ստեփանավան","20,000 ֏ daily",AMD,"The house is in fresh, clean condition. It has 3 bedrooms, 1 living room, kitchen, bathroom and open balcony.The rooms have televisions, Wi-Fi, kitchenware, gas stove, refrigerator. It has a bathroom. Permanent gas supply, water supply, electricity.The house has a yard, suitable for family vacations. MaxIt can accommodate about 8 people.The house is fully rented for AMD 20,000.Vacation home.Guest house.Rest area.House for rent.Stepanavan.Stepanavan:Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16201112
House,Stone,150 sq.m.,1,7,1,,,Euro Renovation,,,,,,,"Surb Nshan street, Stepanavan","25,000 ֏ daily",AMD,"House for daily rent in Stepanavan with all communal amenities, call for wifi details. Negotiable depending on the number of people.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17851770
House,Stone,45 sq.m.,1,2,1,Available,Not available,Cosmetic Renovation,,7,Yes,No,Included,By Agreement,"Pushkin Street, Stepanavan","20,000 ֏ daily",AMD,"The mansion is located in Pushkino, on the edge of the forest.There is a river nearby;.The mansion has-1 bedroom (1 double and 2 single beds),1 living room (with a pull-out sofa for two people and one additional pull-out bed),2 kitchens,Summer kitchen for 12 people - besedka.*summer pavilion,*grill,* rocking chair*pendulum,* LED TV,*wifi,*pure water device*all necessary accessories (linen, towels, dishes)Paid servicesriding-1000Hookah - 6000 AMDIntended for overnight stay of 6-7 people.The cost of a house, not for one person, per day is 20,000 dirhamsTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18063628
House,Stone,280 sq.m.,2,3,1,,,Cosmetic Renovation,100 sq.m.,,,,,,Lorri › Alaverdi,"10,000 ֏ daily",AMD,"Normal condition, hot water, gas, wifi, daily rent 10,000 drams.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17585583
House,Stone,300 sq.m.,2,8+,3+,,,Major Renovation,1800 sq.m.,,,,,,"22-րդ փողոց 4, Օձուն","13,000 ֏ daily",AMD,"BandB Odzun հյուրատունը գտնվում է Օձուն գյուղում։Հյուրատունն ունի 8 երկտեղանի սենյակ` Յուրաքանչյուրն իր սանհանգույցով։ Բոլոր սենյակները գտնվում են առաջին հարկում։Ունի գիշերելու, հանգստի, սնվելու, աշխատելու համար բոլոր պայմանները։Առկա է ընդարձակ հյուրասրահ` Նախատեսված 30 հոգու սնվելու համար, ինչպես նաև խոհանոց` Սննդի պատրաստման համար բոլոր պայմաններով։Երկրորդ հարկի հանգստի սրահը հագեցված է հեռուստացույցով, բազմոցներով, բուխարիով։Գինը`1 օրը 12000 դրամ` Մեկ սենյակի համար, իսկ երկարաժամկետ պատվերների դեպքում կգործեն զեղչեր։Անվճար ավտոկայանատեղիԱնվճար ինտերնետԶրուցարաններ այգումГостевой дом BandB Odzun расположен в селе Одзун. В гостевом доме 8 двухместных номеров, каждый со своим санузлом. Все номера на первом этажеЗдесь созданы все условия для сна, отдыха, приема пищи и работы.Имеется просторная гостиная вместимостью до 30 человек, а также кухня со всеми условиями для приготовления пищи.Холл второго этажа оборудован телевизором, диванами, камином.Цена12000 драм в сутки, за один номер и при долгосрочных заказах будут скидки.Бесплатная парковка Бесплатный интернет",Nov-24-2022_23-03,,,https://list.am/en/item/17499720
House,Stone,"10,000 sq.m.",1,5,2,,,Euro Renovation,,,,,,,Lorri › Stepanavan,"20,000 ֏ daily",AMD,Apartment in Stepanavan for daily rent with all amenitiesTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/17914515
House,Stone,75 sq.m.,1,2,1,,,Partial Renovation,1000 sq.m.,,,,,,Lorri › Dsegh,"25,000 ֏ daily",AMD,"Հյուրատուն Լոռու մարզի Դսեղ գյուղում: Նախատեսված է 6 անձի համար:2 Ննջարան՝որոնցում առկա է 2 և 4 մահճակալներ: Առկա է նախասրահ, խոհանոց, սանհանգույց, տաղավար, այգի, բակ՝ 3 մեքենա կայանելու հնարավորությամբ:Մեկ օրը 35,000 դրամ:Հաջորդ օրերի համար օրեկան 20,000 դրամ:Նոր է վերանորոգվել, բնակեցված չէ:Երկու անձի դեպքում օրը 25,000դրամ:Օրավարձով տուն, բնակարան, առանձնատունԸնտանեկան հանգիստՀյուրատուն Լոռի, Լոռու մարզԳյուղական հանգիստՀյուրատուն ԼոռիГостевой дом в селе Дсех Лорийской области. Рассчитан на 6 человек.2 спальни с 2 и 4 кроватями. Есть холл, кухня, санузел, павильон, сад, двор с возможностью парковки 3 автомобилей.35 000 драмов в день.20 000 драм в сутки в последующие дни.С новым ремонтом, не заселена.25 000 драм в сутки на двоих, выдается не менее чем на 5 дней.Дом, квартира, частный дом посуточноСемейный отдыхГостевой дом Лори, Лорийская областьСельский отдыхГостевой дом ЛориTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18190430
House,Stone,120 sq.m.,2,4,1,,,Cosmetic Renovation,220 sq.m.,,,,,,"Pushkin Street, Stepanavan","15,000 ֏ daily",AMD,"Stepanavan village GargarAll utilities, unlimited internet.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14216065
Country House,Stone,150 sq.m.,2,4,1,Available,3 or more spots,Old Renovation,650 sq.m.,8+,Yes,No,By Agreement,Without prepayment,"3-րդ փակուղի 1, Ստեփանավան","10,000 ֏ daily",AMD,"It is for daily rent. If you have any questions, call.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17770262
Country House,Stone,70 sq.m.,2,3,1,Available,Not available,Partial Renovation,1000 sq.m.,6,Yes,Yes,Included,By Agreement,Lorri › Debet,"20,000 ֏ daily",AMD,"In the village of Debet, Lori region, very close to the forest, right on the river bank, a guest house is for daily rent. The house has 2 bedrooms, 1 living room. You can be hosted by 6-7 people.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17907740
