Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Links
Stone,No,Not available,5,,,49 sq.m.,2,1,from 2.7 m,2,Not available,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, stove, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",4,Yes,No,Not included,By Agreement,"Vardanants Street, Vanadzor","9,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա ջեռուցում, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17780922
Stone,No,Not available,5,,,52 sq.m.,2,1,from 2.7 m,4,Not available,Available,Euro Renovation,,,,4,Yes,No,Not included,By Agreement,"Myasnikyan street, Vanadzor","10,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա ջեռուցում, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17780921
Stone,No,Not available,5,,,97 sq.m.,4,1,from 2.8 m,3,Not available,,Major Renovation,,,,5,Yes,No,Not included,2 months,"Լոռու խճուղի 1, Վանաձոր","250,000 ֏ monthly",AMD,"There is property in the apartment, the apartment is located in the center of Vanadzor cityTranslated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17998831
Panels,Yes,Not available,5,,,81 sq.m.,3,1,from 2.6 m,3,Open balcony,,Major Renovation,,,,,,,,,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"An apartment is for rent in StepanavanThe price is negotiable from the mentioned price, the house is capitally renovated, it has 2 balconies.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17580580
Stone,No,Not available,2,,,50 sq.m.,5,2,from 2.7 m,2,Multiple balconies,Available,Cosmetic Renovation,,,,8+,Yes,Yes,Included,By Agreement,Lorri › Stepanavan,"5,000 ֏ daily",AMD,"Rooms are for rent in the village of Gyulagarak. The apartment is located next to the Arboretum (in the same village) The apartment has hot and cold water, it is furnished. It has a garage and a large yard. The house is located in an exclusively ecologically clean environment, in a pristine area. The Gargar river flows in front of the house, there are also small lakes, fields and pavilions.The house is close to St. Gevorg's chapel and ""lakes"", ""island"" attractions in the neighboring village, parking and Wi-Fi are available.Important 1. Person: 6000 dramsImportant 2. Dear visitors, there may be several families in the house, because they rent out the rooms, if you want the whole house, you pay AMD 60.Important 3. When reserving the room or apartment, you pay the non-refundable amount.Thank you.)Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/14152450
Stone,Yes,Not available,2,,,80 sq.m.,3,1,from 3 m,2,Open balcony,,Major Renovation,,,,,,,,,Lorri › Vanadzor,"150,000 ֏ monthly",AMD,"3 rooms on the 2nd floor are for rent in the Euro car service center, capitally renovated, gas, water, electricity, bathroom, kitchen, pasture, dry. Suitable for office, commercial activities.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17581248
Monolith,Yes,Not available,5,,,100 sq.m.,3,1,from 2.8 m,4,Not available,Not available,Major Renovation,,,,2,Yes,No,Not included,2 months,"Մարշալ Բաղրամյան պողոտա ГСК 7/12, Վանաձոր","55,000 ֏ monthly",AMD,"Long-term 3-5 years for rent, 3-room apartment in Taron 3 district, address KSH -7 -12/25, Stepanavan - left side of Vanadzor intersection, on Yerevan - Vanadzor road, the apartment is spacious and very bright, there is gas, electricity, water, geyser for hot water, the apartment is fully renovated and uninhabited, only the windows have not been changed, they are made of wood, the Russian-made apartment is for rent without property, 60,000 dinars. In case of giving property, the rent of 80,000 dinars must be done by contractTranslated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17865480
Stone,No,Not available,5,,,90 sq.m.,3,1,from 2.7 m,5,Open balcony,Available,Old Renovation,,,,8+,Yes,No,Not included,By Agreement,"Knunyants street 2, Vanadzor","50,000 ֏ monthly",AMD,"The apartment has gas, water; communal facilities, there is also a school and a kindergarten in the area.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/18312891
Stone,No,Not available,5,PLayground,"OUtdoor parking, covered parking",50 sq.m.,2,1,from 2.7 m,1,Not available,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",4,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա ջեռուցում, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/16006115
Stone,No,Not available,5,PLayground,"OUtdoor parking, covered parking",55 sq.m.,2,1,from 2.5 m,5,Open balcony,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",4,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"11,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա ջեռուցում, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/16204358
Stone,No,Not available,5,,,50 sq.m.,2,1,from 2.75 m,3,Open balcony,Available,Major Renovation,"TElevision, internet, parking space","FRidge, washing machine, iron","YArd view, street view",2,Negotiable,No,By Agreement,By Agreement,"Vardanants Street, Vanadzor","10,000 ֏ daily",AMD,Apartment for daily rent in Vanadzor...Translated from Armenian,Nov-24-2022_17-52,https://list.am/en/item/16201286
Panels,Yes,Not available,3,,,45 sq.m.,1,1,from 2.7 m,1,Not available,,Cosmetic Renovation,,,,3,Yes,Yes,Included,By Agreement,"Yubeka Street 2, Vanadzor","8,000 ֏ daily",AMD,"Apartment for daily rent, with all amenities.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17970991
Stone,No,Not available,5,,,56 sq.m.,2,2,from 2.5 m,5,Closed balcony,,No Renovation,,,,,,,,,"Vardanants Street 122, Vanadzor","60,000 ֏ monthly",AMD,"A 2-room apartment is for rent in Vardanants 122 building. The location of the windows faces the square, skylight. There is a garage next to the apartment, which is also for rent.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/18361444
Stone,No,Not available,5,,,32 sq.m.,1,1,from 3 m,4,Open balcony,Available,Major Renovation,,,,2,Yes,Yes,By Agreement,By Agreement,"Проспект Тигран Мец 79, Ванадзор","12,000 ֏ daily",AMD,"Сдаётся квартира в аренду на сутки и более. При аренде больше чем на сутки цена будет меньше, в зависимости от количества дней, в праздничные дни также просим уточнять цену. Квартира находится непосредственно в центре города Ванадзор. Внутри есть всё для вашего комфортного проживания в ней. (Wi-Fi, тёплые полы, кондиционер, смарт-телевизор, стиральная машинка, балкон с непередаваемым видом города на фоне гор, горячая и холодная вода, микроволновая печь, газовая плита и все нужные кухонные, банные принадлежности.) По всем интересующим вопросам звоните по указанному номеру или пишите сообщение в лист.",Nov-24-2022_17-52,https://list.am/en/item/18174753
Stone,No,Not available,5,,,80 sq.m.,3,2,from 2.8 m,2,Open balcony,Available,Euro Renovation,,,,4,Yes,No,Not included,1 month,"Lazyan street 18, Vanadzor","150,000 ֏ monthly",AMD,Վարձով է տրվում 3 սենյականոց բնակարան՝ Վանաձորի կենտրոնում։ Բնակարանը ապահոված է կոմունալ բոլոր հարմարություններով։ Շատ արևկող և լուսավոր է։ Մանրամասների համար զանգահարել։Բնակարանը ազատվելու է Նոյեմբերի 1-ից։Сдается 3-х комнатная квартира в центре Ванадзора. Квартира оборудована всеми коммуникациями. Очень солнечно и ярко. Для получения дополнительной информации позвоните.Квартира будет свободна с 1 ноября.,Nov-24-2022_17-52,https://list.am/en/item/18359339
Panels,No,Available,9,,,64 sq.m.,2,1,from 2.75 m,7,Closed balcony,Available,Cosmetic Renovation,,,,4,Yes,No,Not included,1 month,"Հովհաննես Թումանյանի փողոց 9А, Վանաձոր","150,000 ֏ monthly",AMD,"A 2-room apartment is for rent in the center of Vanadzor, with all utilities, furniture and appliances.The price is negotiable.For more information call.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/18275184
Stone,Yes,Not available,2,,,100 sq.m.,4,2,from 3 m,2,Open balcony,Available,Euro Renovation,,,,3,Yes,No,By Agreement,1 month,"Улица Татеракан 1/1, Ванадзор","250,000 ֏ monthly",AMD,Здание расположено в центре города. Качественный ремонт.,Nov-24-2022_17-53,https://list.am/en/item/17658166
Panels,No,Available,9,,,60 sq.m.,2,1,from 2.6 m,6,Not available,,Cosmetic Renovation,,,,,,,,,"Tigran Mets Avenue, Vanadzor","60,000 ֏ monthly",AMD,"A 2-room apartment is for rent, on Tigran Metsi Avenue in Vanadzor, next to Tashir Pizza. The apartment is sunny, bright, has hot and cold water, gas, double bed, sideboard, table with chairs.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17886991
Stone,Yes,Not available,2,,,45 sq.m.,2,1,from 2.8 m,1,Not available,,Euro Renovation,,,,8+,Yes,Yes,Not included,1 month,Lorri › Gyulagarak,"100,000 ֏ monthly",AMD,"Здам на длительный срок, за месяц цена от 100000, Село Гюлагарак, есть стиралная комната, работница, бесплатный вай фай, столовая, можно заселится когда угодно, отопление электрическое, номерах есть холодильник, телевизор, двухкомнатная. Есть и с кухней",Nov-24-2022_17-53,https://list.am/en/item/18356502
Stone,No,Not available,5,,,45 sq.m.,1,1,from 2.7 m,2,Not available,Available,Euro Renovation,,,,3,Negotiable,No,By Agreement,By Agreement,Lorri › Vanadzor,"11,000 ֏ daily",AMD,"Apartment for daily rentIn the center of Vanadzor city, newly renovated, with all utilities: Heating, bed, towels, washing machine, TV, refrigerator, hot and cold water, gas stove, kettle, necessary dishes, slippers.It is close to the supermarket, pharmacy, shops, fast food outlets, the square, the park.The price may change depending on the number of days.Arrival after 13:00Departure: Before 12-00 (time change is possible)REMINDER: All sanitary conditions are observed.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17991000
Stone,Yes,Not available,3,,,40 sq.m.,2,1,from 3 m,1,Open balcony,,Euro Renovation,,,,2,Yes,Yes,Included,Without prepayment,"Улица Джравазани 73, Алаверди","18,000 ֏ daily",AMD,"Гостевой дом по адресу г. Алаверди, ул. Джравазан 73.Цена на этот номер составляет 15.000драм, дом находится на собственном участке, имеет автопарковку, это номер люкс, так же присутствуют все удобства для пикника на открытом воздухе. Можно также заказать еду. Число свободных номеров ограничено, просим позвонить заранее. С радостью ответим на все ваши вопросы.",Nov-24-2022_17-53,https://list.am/en/item/16689483
Stone,No,Not available,3,,,20 sq.m.,1,1,from 3 m,2,Open balcony,,Euro Renovation,,,,1,Yes,Yes,Included,Without prepayment,"Улица Джравазани 73, Алаверди","9,000 ֏ daily",AMD,"Guest house: C. Alaverdi, at 73 Jravazan Street.The price of a guest house per person is AMD 9,000 per night.The guest house has rooms for 1-12 people.The 3-story house is located in its own territory, has a parking space, family rooms, and all the comforts of organizing a picnic outside. It is also possible to carry out food orders.The number of free numbers is limited. Please call in advance.We will gladly answer all your questions.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/15902753
Stone,No,Not available,3,,,70 sq.m.,3,1,from 2.8 m,1,Not available,Available,Major Renovation,,,,5,Yes,Yes,Included,Without prepayment,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A bright, clean apartment is for daily rent in the center of the city, next to Artsakh ParkTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/16719523
Stone,Yes,Available,7,,,70 sq.m.,2,1,from 3 m,5,Not available,Available,Major Renovation,,,,5,Yes,Yes,Included,Without prepayment,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"2-room clean, neat, luxurious euro-renovated apartment is for daily rent in a newly built building in the center of Vanadzor city.The apartment is provided with all the amenities.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/16764938
Stone,No,Not available,4,,,50 sq.m.,2,1,from 2.8 m,2,Not available,,Euro Renovation,,,,,,,,,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A clean, tidy euro-renovated 2-room apartment is for daily rent in the center of the city.Call the mentioned number for details.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17215410
Monolith,Yes,Not available,3,,,110 sq.m.,3,1,from 2.75 m,3,Open balcony,Available,Designer Renovation,"TElevision, air conditioner, internet, parking space","FRidge, microwave, coffee maker, washing machine, water heater, iron, hair dryer",,6,Yes,No,Not included,By Agreement,"Գարեգին Նժդեհի փողոց 9/2-1 , Վանաձոր","10,000 ֏ daily",AMD,"Վանաձոր քաղաքի կենտրոնում եռհարկանի մոնոլիտ նորակառույց շենքում կահավորված, անհատական տաքացման Baxi համակարգով տրվում է վարձով նոր վերանորոգված 110 մ2 տարածքով շքեղ բնակարան:В центре города Ванадзор в новом монолитном 3-х этажном здании сдается в аренду полностью отремонтированная, с индивидуальным отоплением, с кондиционером и мебелью квартира площадью 110м2.",Nov-24-2022_17-53,https://list.am/en/item/17754789
Monolith,Yes,Available,6,,,70 sq.m.,2,1,from 3 m,2,Open balcony,,Major Renovation,,,,,,,,,Lorri › Vanadzor,"200,000 ֏ monthly",AMD,"Сдаётся двухкомнатная квартира в Городе Ванадзор, всё необходимое для проживания есть, отопление есть. Нужен депозит!Կոդ 55222",Nov-24-2022_17-53,https://list.am/en/item/18037122
Stone,No,Not available,5,,,48 sq.m.,3,1,from 2.7 m,1,Open balcony,Available,Euro Renovation,,,,6,Yes,Yes,By Agreement,By Agreement,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A newly renovated apartment is for daily rent in the central part of Vanadzor. It has a large, spacious living room, 2 bedrooms, an open balcony, provided with all utilities. Located on the ground floor of a 5-storey building. Heating system: Individual. (Bucky) The price may vary depending on the number of days կապված persons.Apartment for daily rent in Vanadzor, House for daily rentA private house with all the communal amenities is for daily rent. It has constant hot and cold water, internet, TV, refrigerator, sieve and washing machine.Price starting from 8000 AMD per day for the whole house. It is possible to pay by transfer. Price may vary depending on the number of people and season.# daily rent # apartment # Vanadzor # short-term # daily rent in VanadzorTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/16055160
Panels,No,Available,9,,,78 sq.m.,3,1,from 2.7 m,2,Closed balcony,Available,Euro Renovation,,,,7,Yes,Yes,By Agreement,By Agreement,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A 3-room apartment is for daily rent in the center of Vanadzor. Has all the utilities. Located on the 2nd floor.The price can be changed depending on the number of people կապված related days.#house, # daily rent # apartment # Vanadzor # short-term # daily rent house in Vanadzor, # Lori # DilijanTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/14349267
Panels,No,Not available,6,,,68 sq.m.,3,1,from 2.8 m,1,Open balcony,,Partial Renovation,,,,,,,,,Lorri › Vanadzor,"80,000 ֏ monthly",AMD,3-room apartment is for rent. The apartment is provided with all the communal amenities.Translated from Armenian,Nov-24-2022_17-53,https://list.am/en/item/17952833
Stone,Yes,Not available,4,,,42 sq.m.,1,1,from 2.8 m,1,Not available,Available,Cosmetic Renovation,TElevision,"FRidge, stove, washing machine, water heater, iron",YArd view,3,Yes,No,Not included,1 month,"Մեղապարտի փողոց 24, Ստեփանավան","40,000 ֏ monthly",AMD,"In the center of Stepanavan, on the first floor of Hakob Meghapart building 28 (in front of the hall), a 1-room apartment is for long-term rent with all utilities, electricity, gas, constant hot and cold water. The entrance door is iron. The bathroom is renovated. There are household appliances, refrigerator, TV, automatic washing machine. Machine (beko 5 kg), mercury water heater (column) The apartment is very sunny, there is a bed, household utensils (dishes - cumin)Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/18344649
Stone,No,Not available,5,,,80 sq.m.,3,1,from 3 m,3,Multiple balconies,,Cosmetic Renovation,,,,8+,Yes,Yes,Not included,By Agreement,"Tigran Mets Avenue 75, Vanadzor","150,000 ֏ monthly",AMD,"BRIGHT and WARM 3-room apartment for rent in the heart of Vanadzor, in the building of детский мир, close to the pedagogical university, the theater, the round department store, the market, etc.An open balcony, a large niche, that is, there can be 4 roomsTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/18220339
Stone,No,Not available,4,,,65 sq.m.,2,1,from 3 m,1,Closed balcony,Available,Major Renovation,,,,3,Yes,No,Not included,By Agreement,"Myasnikyan street, Vanadzor","230,000 ֏ monthly",AMD,"Сдается двухкомнатная квартира совсеми удобствами в центре города. Капитально отремонтированно. Вся техника новая. Холодильник, микроволновая печь, газовая плита, стиральная машина, вытяжка, телевизор, интернет Wi-Fi. Также отопление, круглосуточная горячая и холодная вода.",Nov-24-2022_17-53,https://list.am/en/item/18033703
Panels,No,Available,9,,,63 sq.m.,2,1,from 2.7 m,1,Closed balcony,,Major Renovation,,,,,,,,,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"An apartment is for rent in Vanadzor with all utilities, constant hot and cold water, there is a double jacuzzi, there is also WiFi internet connection, it is furnished and newly renovated. Heating with a baxi systemTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/18263892
Stone,No,Not available,3,,,82 sq.m.,4,1,from 3 m,2,Open balcony,,Euro Renovation,,,,6,Yes,No,Not included,By Agreement,"Տիգրան Մեծի պողոտա 20/1Ա, Վանաձոր","300,000 ֏ monthly",AMD,"4 (four) room apartment is for rent for long-term purpose, c. In Vanadzor.Tigran Mets 39 building, apt. At 3 (in front of Gugark Hotel)The apartment is located on the 2nd floor of a 3 (three) storey stone building.The property and equipment are fully available, andYou can call for detailsTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17573652
Stone,No,Not available,5,,,78 sq.m.,2,1,from 2.75 m,1,Closed balcony,,Cosmetic Renovation,,,,2,Yes,No,Not included,1 month,"Ներսիսյան թաղամաս 15, Վանաձոր","70,000 ֏ monthly",AMD,"The apartment is located near the bus stop, shops in front of the house, together with the property, there is sunny, gas, electricity, permanent water, cosmetically renovatedTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17078843
Stone,No,Not available,5,,,89 sq.m.,3,1,from 2.75 m,2,Open balcony,,Euro Renovation,,,,,,,,,"Grigor Lusavorich street 31, Vanadzor","100,000 ֏ monthly",AMD,Apartment for rent in the city center.With all household amenities.Translated from Armenian,Nov-24-2022_17-53,https://list.am/en/item/18023685
Stone,No,Not available,1,,,100 sq.m.,4,2,from 3.2 m,1,Open balcony,,Major Renovation,,,,1,Yes,No,By Agreement,By Agreement,"Մեսրոպ Մաշտոցի փողոց 22, Վանաձոր","6,000 ֏ daily",AMD,"The house is completely renovated, provided with constant hot and cold water, solar energy generating system, all utilities, automatic washing machine, refrigerator, WiFi, Baksi heating system. It is located in a quiet, peaceful neighborhood. It has a spacious balcony with a wonderful forest view, an orchard with relaxation corners. The distance from the city center is up to 700 meters - 1 km. Suitable for both remote working teams and families.The guest house is available for daily rent both as separate rooms and as a whole. The price of a room for one person per day is 6000 AMD, in case of group visits, the rent of the entire guest house is 25,000-40,000 AMD, depending on the number of people.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17979955
Panels,No,Not available,5,,,38 sq.m.,2,1,from 3 m,5,Closed balcony,,Cosmetic Renovation,,,,,,,,,Lorri › Stepanavan,"8,000 ֏ daily",AMD,The apartment is newly renovated. It has constant hot and cold water.Maximum for 4 peopleIt is close to Dendropark.Translated from Armenian,Nov-24-2022_17-53,https://list.am/en/item/17845981
Stone,Yes,Available,3,,,50 sq.m.,2,1,from 3 m,1,Not available,,Designer Renovation,,,,,,,,,Lorri › Stepanavan,"20,000 ֏ daily",AMD,"Apartment in Stepanavan. Apartment in Stepanavan. Quartira in Stepanavan. It is located in the center, near the fountains, at Sos Sargsyan 1. Wi-Fi is available, there are all the necessary amenities (stove, refrigerator, microwave, washing machine, dishwasher, TV, Baxi system)Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17424732
Panels,No,Not available,5,,,38 sq.m.,2,1,from 3 m,5,Closed balcony,,Cosmetic Renovation,,,,,,,,,Lorri › Stepanavan,"8,000 ֏ daily",AMD,The apartment is newly renovated. It has constant hot and cold water.Maximum for 4 peopleIt is close to Dendropark.Translated from Armenian,Nov-24-2022_17-53,https://list.am/en/item/17845982
Stone,Yes,Not available,2,,,1500 sq.m.,4,2,from 2.7 m,1,Open balcony,,Euro Renovation,,,,,,,,,Lorri › Spitak,"15,000 ֏ daily",AMD,Hot mountain water 4-room apartment with a beautiful yard in the neighborhood of Spitak MunicipalityTranslated from Armenian,Nov-24-2022_17-53,https://list.am/en/item/18305097
Panels,Yes,Not available,5,,,42 sq.m.,2,1,from 3 m,5,Not available,Available,Designer Renovation,,,,4,Yes,No,Not included,By Agreement,"Shinararneri street, Vanadzor","8,000 ֏ daily",AMD,2-room apartment for daily rent in Dimats district. With all utilities.Translated from Armenian,Nov-24-2022_17-53,https://list.am/en/item/17896175
Stone,No,Not available,5,,,47 sq.m.,1,1,from 2.7 m,5,Closed balcony,,Major Renovation,,,,,,,,,"Grigor Lusavorich street, Vanadzor","100,000 ֏ monthly",AMD,"From October 20, 1-room apartment for rent in K. G. Of Vanadzor The apartment at Lusavorich 31/50 is newly renovated, unfurnished, Smile supermarket is located in the area, banks, school, close to the square. For family questions, call the specified number. Negotiable for long-term residents.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/18294209
Stone,No,Not available,2,,,40 sq.m.,3,1,from 2.7 m,2,Not available,,No Renovation,,,,,,,,,"Garegin Nzhdeh Street, Vanadzor","40,000 ֏ monthly",AMD,"The apartment needs repair, call for detailsTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/18217843
Stone,No,Not available,5,,,90 sq.m.,4,1,from 3 m,5,Open balcony,,Partial Renovation,,,,,,,,,Lorri › Vanadzor,"12,000 ֏ daily",AMD,"An apartment is for daily rent in the center of the city, on Vardanants street, renovated, with beautiful kitchen furniture, very close to Vanadzor square. The price can be changed according to the number of days. Call for questions.Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17670845
Stone,Yes,Not available,5,,,70 sq.m.,3,1,from 2.8 m,2,Closed balcony,,Euro Renovation,,,,6,Yes,Yes,Not included,3 months,"Nersisyan district 8, Vanadzor","$34,000 monthly",USD,"FOR SALE,The price is negotiable.The house is located in Vanadzor city/Bangladesh district, address 8/5, Nersisyan districtThe house is completely renovated according to European standards. The house has hot and cold water, taxi, furniture, washing machine, TV, internet, cable channels, all bedrooms have double beds.A garage is also possible if desired.It is under the same numberviber:WhatsApp:Translated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/17729838
Panels,Yes,Available,9,,,120 sq.m.,4,1,from 2.75 m,9,Open balcony,,Euro Renovation,,,,8+,Yes,Yes,Not included,2 months,"Moskovyan street 54, Vanadzor","200,000 ֏ monthly",AMD,"An apartment for rent in the city center from February 1, near the market, with all utilities, necessary property, BAX system, sunny sideTranslated from Armenian",Nov-24-2022_17-53,https://list.am/en/item/18107827
Stone,No,Not available,2,,,55 sq.m.,3,1,from 2.6 m,2,Open balcony,Available,Major Renovation,,,,6,Yes,No,By Agreement,By Agreement,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"Տրվում է օրավարձով բնակարան Ստեփանանավան քաղաքում, որը գտնվում Արջասարի ստորոտին, գեղատեսիլ բնության գրկում, սոճիների և եղևնիների շրջակայքում։Բնակարանը նոր վերանորոգված է, ապահովված կոմունալ բոլոր հարմարություններով, անհրաժեշտ պարագաներով։Նախատեսված է 4֊6 անձի առողջարանային և պասիվ հանգստի համար։ Մոտենում է փոշոտման շրջանը։ Վայելեք այն մեր հյուրընկալ, գողտրիկ տարածքում։Երկարաժամկետ ամրագրման դեպքում կգործի զեղչային համակարգ։Дата: 04.05.2022",Nov-24-2022_17-53,https://list.am/en/item/17747278
