Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links
Country House,Monolith,2000 sq.m.,2,5,3+,,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"120,000 ֏ daily",AMD,"LUXERY Eco Garden House invites you to hold your birthday, bachelorette party, wedding or other events with us.*We have 3000 sq. A fenced container, which we can provide under other conditions for large events and shootings.The house was completely built in 2020.* The distance from Yerevan is 25 km.* There are 2 separate houses in the yard, each with 2 separate bedrooms.* 4 bedrooms (2 with their own bathroom)* 4 bathrooms* Luxurious night lighting* Tableware (identical, high quality)* Mangal, (barbecue bottle)* Parking for up to 10 carsThe price is different on Friday, Saturday and Sunday.The house is provided both with and without overnight accommodation.Check in (entrance) - manualCheck out - contractualCode ArmavirTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18014590
House,Stone,80 sq.m.,1,3,2,,,Euro Renovation,,,,,,,"Araratyan street, Vagharshapat","20,000 ֏ daily",AMD,"The guest house is located on the sidewalk in front of the Mother Cathedral, 50 meters away.It is furnished, there are refrigerators, a washing machine. The bedrooms have air conditioners, one of the bedrooms has a separate bathroom and toilet, fireplace.There is a barbecue in the kitchen.There is also a garden with a green belt chat.The guest house is for rent for families or tourists. The cost of one day in each double bedroom is 10000 AMD.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17466625
House,Stone,80 sq.m.,1,3,2,,,Euro Renovation,,,,,,,"Araratyan street, Vagharshapat","180,000 ֏ monthly",AMD,"The guest house is located on the sidewalk in front of the Mother Cathedral, 50 meters away.It is furnished, there are refrigerators, a washing machine. There are air conditioners in the bedrooms, one of the bedrooms has a separate bathroom and toilet, fireplace.There is a grill in the kitchen.There is also a garden, a green zone with a chat room.The guest house is rented to families or tourists.The rent is AMD 180,000. In case of a period of less than 1 month, a different price will apply (daily rent, one day's price for each double bedroom is AMD 10,000)Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16822222
Country House,Monolith,1000 sq.m.,2,4,2,By agreement,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"120,000 ֏ daily",AMD,"LUXERY Eco Garden House invites you to hold your birthday, wedding, wedding or other events with us.* We have 3000 square meters! Fenced area, which we can provide with other conditions for big events, filming.The house was completely built in 2020.* Distance from Yerevan is 25 km.* There are 2 separate houses in the yard, all with 2 separate bedrooms.* 4 bedrooms (2 with separate bathroom)* 4 bathrooms* Luxurious night lighting* Tableware (same, high quality)* Barbecue (barbecue bottle)* Up to 10 car parking spacesThe price is different on Fridays, Saturdays and Sundays.The house is provided both with overnight accommodation and without overnight accommodation.Check in - monographCheck out - negotiableCode LuxuryTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16676277
House,Stone,70 sq.m.,1,3,1,Available,2 spots,Euro Renovation,100 sq.m.,4,Yes,No,Included,1 month,"Սայաթ Նովայի փողոց 16, Սայաթ-Նովա","300,000 ֏ monthly",AMD,"RENT INCLUDES ALL UTILITIES (LIGHT, GAS, WATER, HEATING, INTERNET)The house has constant water, gas, internetIt is furnished, TV, washing machine, refrigerator, taxi,The house is located in the center of EtchmiadzinTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18366253
House,Stone,290 sq.m.,2,4,2,,2 spots,Major Renovation,190 sq.m.,6,Yes,Yes,Not included,By Agreement,"Արամ Մանուկյանի 2-րդ փողոց 95, Վաղարշապատ","150,000 ֏ daily",AMD,"CODE EJ91:Agent - LenaAddress: Aram Manukyan street.4-room two-storey, spacious, comfortable private house is for rent.The house has a garage for parking 2-3 cars. The basement of the house has all the necessary facilities for disco entertainment. It has a spacious and beautiful yard.The house can be rented both for a daily rent and for a long-term monthly rent.===== (4 rooms, 2 floors, 480 sq / m) =====The house has all the necessary utilities:• Constant hot and cold water,• Gas, gas stove, gas stove,• Microwave oven,• Heating ացման cooling system,• 2 TV, Internet, Wi-Fi, 2 bathrooms,• Refrigerator, Washing machine,• Tableware, linen,• Iron door, Open balcony.==== Daily: AMD 150,000-200,000 ======== Monthly: 1500-3000 $ ====Dear Customers, You can also contact us!Viber, WhatsApp, Telegram // Lux GroupTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17970353
Country House,Stone,700 sq.m.,1,3,2,,,Major Renovation,630 sq.m.,,,,,,Armavir › Echmiadzin,"130,000 ֏ daily",AMD,"CODE EJ92:Agent - Lena3-room spacious, beautiful private house for 30-40 people is for daily rent. The house has a large plot of land, a swimming pool, dishes for 40 people. It is possible to rent it overnight.Your own occasion can be organized for an additional fee.The private house is located 7 km away from Etchmiadzin.===== (3 rooms, 1 floor, 700 sq. M.) =====The utilities available outside the house are:• Constant hot and cold water,• Gas stove, Tonir, kitchen,• TV, Internet, Wi-Fi, 1 bathroom,• Refrigerator, Dishes for 40 people,• Private room.The utilities inside the house are:• Heating ացման cooling system,• Gas stove, gas stove• TV, Internet, Wi-Fi, bathroom,• Refrigerator, Washing machine,• Tableware, linen,• Iron door.==== Daily: 130,000-150,000 AMD ======== Overnight: 150,000-170,000 AMD ====Dear Customers, You can also contact us!Viber, WhatsApp, Telegram // Lux GroupTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17970514
House,Stone,220 sq.m.,1,2,1,Available,2 spots,Designer Renovation,1100 sq.m.,8+,Yes,No,By Agreement,By Agreement,Armavir › Echmiadzin,"75,000 ֏ daily",AMD,"A luxurious private house with two bedrooms is for daily rent in Etchmiadzin, where it has a luxurious yard with a swimming pool, a pavilion with barbecue facilities. It is designed for 8 people.Code HovikHouTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16827726
Country House,Stone,78 sq.m.,2,2,2,Available,Not available,Designer Renovation,890 sq.m.,6,Yes,No,By Agreement,By Agreement,Kotayk › Tsakhkadzor,"25,000 ֏ daily",AMD,Arsen Ejmiacin:The yard of a beautiful summer house with a swimming pool and a pavilion for 25-30 people is for daily rent.Code ArsenEjmTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17113496
Country House,Stone,300 sq.m.,1,1,1,Available,3 or more spots,Designer Renovation,,8+,Yes,Negotiable,Not included,By Agreement,Armavir › Musaler,"70,000 ֏ daily",AMD,"Recreation area for rent in Musaler. It has a beautiful swimming pool, suitable for any type of recreation. There are no residential houses nearby, the pool is 9 meters long and 4 meters wide. It has a rest pavilion. The price is for up to 20 people. For more information call. NarineCode 3164Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17646969
House,Stone,400 sq.m.,1,3,2,Available,Not available,Major Renovation,150 sq.m.,1,Yes,No,Not included,4 months,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,Bucks mule light with all amenitiesTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/18044738
House,Panels,80 sq.m.,1,4,1,,3 or more spots,Euro Renovation,400 sq.m.,1,Yes,Yes,Included,By Agreement,"Zvartnots quarter 107, Vagharshapat","20,000 ֏ daily",AMD,"Apartment for daily rent in Zvartnots, with all amenitiesFor more information callTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18261413
House,Stone,180 sq.m.,2,4,1,Available,1 spot,Euro Renovation,,1,Yes,No,Not included,2 months,Armavir › Norakert,"170,000 ֏ monthly",AMD,"Own house... For a normal family. No more than 4 people.Call, if I don't pick up, write to Viber.20 km from the center.Do not call brokers. Rent with deposit. He will be free from December 1. Call to view the house.Translated from Armenian",Nov-24-2022_22-59,INternet,"FRidge, washing machine",https://list.am/en/item/18365417
House,Stone,240 sq.m.,2,6,2,,,Euro Renovation,600 sq.m.,,,,,,Armavir › Parakar,"$2,500 monthly",USD,"The house is newly built.Permanent gas, electricity, water, internet,2 floors,5 bedrooms,1 living room,2 bathrooms,decorative garden,swimming pool,Mangal,tonirParking for 4 cars.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18347762
House,Monolith,360 sq.m.,2,6,3+,,Not available,Partial Renovation,700 sq.m.,8+,Yes,No,Not included,1 month,"Admiral Isakov Avenue, Tairov","100,000 ֏ monthly",AMD,"Shop, 39 m2, house, 2 floors, for rent, semi-detached. The house is sold in parts. He has an apartment outside Mikan. Price: From 100,000 to 170,000.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18261151
Country House,Monolith,1500 sq.m.,3,5,3+,Available,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,"LUXERY Eco Garden House invites you to hold your birthday, bachelorette party, wedding or other events with us.The house is located in the village of Aygeshat, on the road to Khoktemberyan.*We have 3000 sq. A fenced container, which we can provide under other conditions for large events and shootings.The house was completely built in 2020.* Swimming pool filtered* Booth (up to 30 people)* Tableware, BBQ bottle* The distance from Yerevan is 25 km.* There are 2 separate houses in the yard, each with 2 separate bedrooms.* 4 bedrooms (2 with their own bathroom)* 4 bathrooms* Luxurious night lighting* Tableware (identical, high quality)* Mangal, (barbecue bottle)* Parking for up to 10 carsThe price is different on Friday, Saturday and Sunday.The house is provided both with overnight accommodation and without overnight accommodation (the price for overnight accommodation is AMD 200,000)Check in (entrance) – 14:00Check out - 12:00.Oravarc:Country houseTranslated from Armenian",Nov-24-2022_22-59,"TElevision, internet, air conditioner, swimming pool, sauna, fireplace, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",https://list.am/en/item/18077893
Country House,Monolith,3000 sq.m.,1,1,1,Available,3 or more spots,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"90,000 ֏ daily",AMD,"Ejmiacin ECO GARDEN HOUSE invites you to hold your birthday, baptism, wedding or other events with us.We have 3000 square meters! An area that can be provided for other big events (up to 300 people)ATTENTION!In the yard of our house is St. George Church, which is consecrated by the priest of the Mother See of Holy Etchmiadzin. Built in 2020.ATTENTION! We have no restrictions on music, loud voice.Distance from Yerevan 25 km.* Swimming pool on 8x5 (filtered)* Luxurious night lighting* Pavilion (designed for 32 people)* Tableware (same, high quality)* Barbecue, tonir, possibility of making khashlama with wood (barbecue bottle)* Powerful speakers (bluetooth, aux)* 1 rest roomThe price is different on Fridays, Saturdays and Sundays.The house is provided without accommodation.Check in (entrance) - 10:00Check out - 10:30Mansion:Դաչա:Villa:For daily rentper dayhouseswedding houseTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17946035
Country House,Stone,150 sq.m.,2,3,2,,,Major Renovation,1000 sq.m.,,,,,,Armavir › Parakar,"50,000 ֏ daily",AMD,"Spend your family vacation and celebrations at the beautiful White House Guesthouse.White House Guesthouse offers you to get away from everyday worries and spend your vacation in a beautiful environment.The guest house is located in Parakar community, near the Echmiadzin-Yerevan highway.The guest house is available.3 bedrooms2 bathroomskitchen (with necessary dishes and appliances)living roomoutdoor pavilionfiltered poolspacious parkingfree wi-fiIt is possible to rent not only the whole house, but also only the open-air part.Outdoor area: 50,000 AMD / dayThe whole area is 100000 AMD / dayAdmission from 10:00Departure until 22:00It could be overnight.It is possible to rent it!Long-term.Book in advanceCall for additional questions.We look forward to seeing you at the White House.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17854016
House,Stone,400 sq.m.,3,7,3+,Available,2 spots,Cosmetic Renovation,1000 sq.m.,8+,Yes,No,Not included,By Agreement,"Երևանյան փողոց 2-րդ նրբանցք, Փարաքար","$2,000 monthly",USD,"A three-storey detached house for rent with all amenities: Gas, water, baxi system, 2 bathrooms, 2 bathrooms, furniture, appliances, yard, orchard, garage. The house is located next to the main road, suitable for a home, country house, guest house or business center. The price is final.GIVEN FOR A LONG TERM!Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17975467
House,Stone,189 sq.m.,2,5,2,,Not available,Major Renovation,720 sq.m.,7,Yes,No,By Agreement,By Agreement,"Araratyan street, Vagharshapat","650,000 ֏ monthly",AMD,"It is for monthly rent, has all the communal facilitiesTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17509377
House,Stone,120 sq.m.,1,3,1,,,Euro Renovation,1800 sq.m.,,,,,,Armavir › Mrgashat,"$1,000 monthly",USD,"Сдаётся просторный Дом в Армавирском районе 120 метр квадрат.Четырёх комнатный дом в Селе Мргашат: 3 спальни, гостиная, кухня, балкон-веранда с качелей, гараж, огород.",Nov-24-2022_22-59,,,https://list.am/en/item/18347862
House,Stone,200 sq.m.,2,5,2,Available,1 spot,Major Renovation,205 sq.m.,7,Yes,No,Not included,By Agreement,"Վահան Տերյանի փողոց 11, Վաղարշապատ","$2,300 monthly",USD,"The house is fully renovatednewly built2 floors4 bedroomsThe house has all the communal facilitieswindows and doors of European production,beautiful yardswimming poolchatis given for a short termCode 11036Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17475620
House,Stone,300 sq.m.,3,8+,3+,,,Major Renovation,1500 sq.m.,8+,Yes,No,Not included,By Agreement,Armavir › Voskehat,"300,000 ֏ monthly",AMD,"The house is located 3 km from the city of Etchmiadzin, in the village of Voskehat. It has all the utilities. The house is for rent, only for the family. In the territory of the house there is a summer and winter pavilion, barbecue grill, swimming pool.Call for questions.NegotiableTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18326292
Country House,Stone,500 sq.m.,1,3,2,Available,1 spot,Major Renovation,,6,Yes,Negotiable,By Agreement,By Agreement,Armavir › Echmiadzin,"400,000 ֏ monthly",AMD,Քաղաքում A luxurious private house is for daily and long-term rent in Echmiadzin.The house has all the amenitiesBedroom # 3Bathroom # 2# kitchenLiving room # 2#parking:# tableware# pool# gardenThe pool is filtered for 24 hours———— OWNER ————Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/14450176
House,Stone,105 sq.m.,1,4,1,Available,1 spot,Euro Renovation,350 sq.m.,5,Yes,No,Not included,1 month,"Andranik Iosifyan street, Yerevan","300,000 ֏ monthly",AMD,"Сдается 4 комнатный Дом на Эчмиадзин, каменного дома, 105 кв. М. Поверхность. Дома полностью отремонтирована. Установлены евроокна, кондиционер Он обеспечен постоянным водоснабжением и газоснабжением. Отапливается системой отопления.Կոդ 0085",Nov-24-2022_22-59,,,https://list.am/en/item/18320961
House,Stone,110 sq.m.,1,3,1,,,Designer Renovation,600 sq.m.,,,,,,"Մովսես Խորենացու փողոց 25, Փարաքար","$1,000 monthly",USD,"Private house for rent.The house has all the amenities.Wide corridorSpacious kitchenComfortable bedroomsBeautiful living roomHas a heating system,Conditioner,FurnishedBeautiful pavilion in the yard.The house is not handed over to every person for the purpose of maintaining a beautiful renovation.Call only in case of serious interest.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17534880
House,Stone,60 sq.m.,1,3,1,,,Partial Renovation,1000 sq.m.,,,,,,Armavir › Arevashat,120 ֏ monthly,AMD,A private house is for rent.Equipped with all amenitiesTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/18240381
House,Stone,130 sq.m.,1,5,2,Available,1 spot,Designer Renovation,200 sq.m.,1,Yes,No,Not included,2 weeks,Armavir › Echmiadzin,"22,000 ֏ daily",AMD,"A beautiful 3-bedroom detached house is for rent in a busy location not far from the center of Etchmiadzin. There is a baxi, air conditioner, barbecue, property, appliances, dishes, etc. Renovation and furniture just updated. Commission required.RESERVATIONSfrom the end of August to September 20/after that you can also take it long-term for 700 dollars/Code 6866Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/13996358
Country House,Stone,500 sq.m.,1,1,2,,Not available,Major Renovation,500 sq.m.,8+,Yes,No,By Agreement,By Agreement,Armavir › Echmiadzin,"90,000 ֏ daily",AMD,"* Beautiful country house yard for daily rent.* GIVEN WITHOUT OVERNIGHT.* Where you can hold any gatherings and events.* The yard has all the facilities for a complete rest.* Swimming pool.* Beautiful yard.* Tonir.* Mangal.* Dishes.* Summer pavilion.* Bathroom,* The price depends on the days of the week and the number of people.* Designed for up to 30 people.* If desired, we can include waiter, barbecue cook, cleaner and other services for an additional feeH. C. Please call between 11:00 and 20:00Code 8320Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18047981
House,Stone,600 sq.m.,1,1,1,,,Designer Renovation,600 sq.m.,8+,Yes,Yes,Not included,1 month,"R. Gasparyan street, Parakar","80,000 ֏ daily",AMD,"У нас вы можете отпраздновать, 1,Небольшие посиделки, 2,Будущая невеста, 3,Предложение о браке, 4,Празднование дня рождения и просто теплые семейные мероприятия Для подробной информации звонитеЛетный Дом в Паракаре долеко от Еревана 12км. Есть все удобства бассейн, баня, беседка.Կոդ 0055",Nov-24-2022_22-59,,,https://list.am/en/item/18044414
Country House,Stone,1000 sq.m.,1,1,1,,,Major Renovation,1000 sq.m.,,,,,,"Movses Khorenatsi St, Vagharshapat","80,000 ֏ daily",AMD,Կարող եք կազմակերպել զովացուցիչ ամառային pool party-ներ։Հյուրերի քանակ` 15 հոգի• լողավազան (ավտոմատ բիոֆիլտրացիա)• լոգարան/հանդերձարան• սանհանգույց• տաք ջուր• սպասք• մանղալ/թոնիր/• սառնարան• նվագարկիչ• տապչան/ ճոճաթոռ• Check-in 10:00• Checkout 22:00Երկուշաբթի-ՈՒրբաթ70.000 դՇաբաթ-Կիրակի80.000 դՏարածքը տրամադրվում է ընտանիքների,Nov-24-2022_22-59,,,https://list.am/en/item/16466232
Country House,Stone,1000 sq.m.,1,1,1,,,Designer Renovation,"10,000 sq.m.",,,,,,"Movses Khorenatsi Street, Vagharshapat","80,000 ֏ daily",AMD,We invite you to your Aqua Pool family and friendly gatherings. For more information call:Https: /// aqua_pool_? Igshid = YmMyMTA2M2Y =:Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/16361384
House,Stone,75 sq.m.,1,3,1,,,Euro Renovation,1000 sq.m.,6,Yes,No,Not included,1 month,"3-րդ փողոց 35, Վաղարշապատ","130,000 ֏ monthly",AMD,"The house is located 3 km from the Cathedral. There is a refrigerator, a washing machine, only the bedrooms do not have beds. For tourists, with a 150,000 DEPOSITTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17880157
Country House,Stone,2400 sq.m.,2,4,2,,,Euro Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"60,000 ֏ daily",AMD,"Summer house for daily rent in Echmiadzin (15 km from Yerevan)4-room 2400 m. Q:Beautiful garden pool, barbecue grill.Very suitable for celebrations.Has night lighting.The private house has 2 living rooms, 2 bedrooms, kitchen,bathroom, bathtub.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18103230
House,Stone,400 sq.m.,1,3,1,Available,1 spot,Cosmetic Renovation,250 sq.m.,4,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"150,000 ֏ monthly",AMD,"AS072:K. A 3-room private house is for rent in the Charents district of Etchmiadzin. Property and equipment in the house. The cost is AMD 150,000. In case of adding a heating system, the cost will be AMD 180,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17954786
Country House,Stone,300 sq.m.,1,2,2,,,Major Renovation,,,,,,,Armavir › Echmiadzin,"70,000 ֏ daily",AMD,"Hello. ️:We provide the premises for daily rent, they are provided with all the communal facilities.Dishes and other utensils are provided to ensure your good entertainment.Designed for 15-20 people.10: 00-22: 00.If desired, we can include a waiter, barbecue maker, cleaner and other services for an additional fee. Pictures of the areas are posted on our page.If you have other questions we will be happy to answer.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17888173
House,Stone,155 sq.m.,2,5,1,,,Cosmetic Renovation,455 sq.m.,8+,Yes,No,By Agreement,By Agreement,Armavir › Merdzavan,"$1,000 monthly",USD,"Long-term and 5-room private house is for short-term rent in Arzni.* The house is fully renovated.* Provided with all the necessary amenities for short-term and long-term residence.* Constant hot-cold water, heating and cooling system.Code KM6308Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17784168
House,Stone,43 sq.m.,1,2,1,,,Euro Renovation,,2,Yes,No,By Agreement,1 month,"Մովսես Խորենացու փողոց 8, Փարաքար","200,000 ֏ monthly",AMD,"For rent, call for details.The stop is nearby, there is an underground passage. There is a kindergarten, a school and a carrefour nearby.The house is bright, sunny and dry, we will furnish it if necessary.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18299975
House,Stone,600 sq.m.,1,1,1,,Not available,Major Renovation,600 sq.m.,8+,Yes,No,By Agreement,By Agreement,Armavir › Parakar,"70,000 ֏ daily",AMD,"* Beautiful country house yard for daily rent.* GIVEN WITHOUT OVERNIGHT* Where you can hold any gatherings and events.* The yard has all the facilities for a complete rest.* Swimming pool.* Beautiful yard.* Mangal.* Dynamic.* Summer pavilion.* Bathroom,* The price depends on the days of the week.* Designed for up to 15 people.* Reception hours are from 10:00 am to 10:00 pmH. C. Please call between 11:00 and 20:00Code 8319Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18047329
House,Stone,300 sq.m.,2,5,2,,,Partial Renovation,1400 sq.m.,8+,Yes,Yes,Not included,1 month,Armavir › Shahumyan,"130,000 ֏ monthly",AMD,Private house for rent in Echmiadzin village ShahumyanTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/18337506
Country House,Stone,500 sq.m.,1,3,1,,3 or more spots,Designer Renovation,1200 sq.m.,8+,Yes,Yes,Included,By Agreement,"Armavir Province Roadway, Hovtashat","35,000 ֏ daily",AMD,"A courtyard of a private house is for daily rent, in the village of Aygeshat, 50 km from the center of Yerevan, in the Armavir marz.The house has all the amenities:• Large yard• Swimming pool• Fireplace,• Toner• Bathroom• Bathroom• Summer KitchenTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18095298
Country House,Stone,800 sq.m.,1,3,2,,,Designer Renovation,500 sq.m.,,,,,,Armavir › Argavand,"500,000 ֏ monthly",AMD,Private house for rent with all amenities. There is a garden with a swimming pool. It is provided with full property and equipment.Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/18052977
Townhouse,Stone,700 sq.m.,1,3,2,Available,1 spot,Major Renovation,900 sq.m.,7,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"50,000 ֏ daily",AMD,"AS079:A very nice private house is for daily rent in a place close to the city of Etchmiadzin, where all the necessary conditions are provided for a full-fledged vacation. The swimming pool is filtered, we provide dishes, there is a very beautiful garden with its colorful waterfall. There is a price difference for the night. It is also given for a long term for 6 months, 400,000 AMD.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18005333
House,Stone,720 sq.m.,2,5,2,Available,Not available,Major Renovation,531 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Armavir › Echmiadzin,"550,000 ֏ monthly",AMD,"AS074:K. A 5-room two-story private house is for rent in Etchmiadzin. The house is completely renovated, a heating system is installed, it is furnished with property and equipment, there are 2 bathrooms. The cost is AMD 550,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18263523
House,Stone,60 sq.m.,1,2,1,,,Major Renovation,,,,,,,Armavir › Echmiadzin,"75,000 ֏ daily",AMD,"A private house for daily rent in Etchmiatsin, has all utilities, constant hot and cold water, air conditioner, swimming pool.Given to families.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18061427
House,Stone,128 sq.m.,2,2,1,Available,Not available,Major Renovation,500 sq.m.,6,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"65,000 ֏ daily",AMD,"Luxurious guest house in Etchmiadzin* 2 bedrooms* 1 bathroom* barbecue,* tableware, bedding (for 4 _6 people)* Outdoor pool* WI-FI:* parking* pavilion* FireplaceFrom Monday to Thursday, 65,000 AMDFrom Friday to Sunday - 75,000 dramsSpend your vacation in Etchmiadzin.For more information call:Check-in: Admission: 11:00Check-out: Departure: 23:00Code HovikEjmTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17898254
House,Stone,1000 sq.m.,1,1,1,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Parakar,"60,000 ֏ daily",AMD,A summer house is for daily rent in ParakarAt a distance of 12 kilometers from YerevanThe summer house has all the amenitiesRest roomSwimming poolGreen yardPavilion for 20 peopleSummer kitchenATTENTION no dishesCall to make a reservationCode 50243Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17909738
House,Stone,100 sq.m.,1,1,1,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"85,000 ֏ daily",AMD,A private house is for daily rent in Etchmiadzin3-4 people for the nightSummer pavilionSwimming poolTablewareSpeakers:Overnight and without overnight the value is the sameFor more information callCode 50260Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17964506
House,Stone,30 sq.m.,1,2,1,,,Major Renovation,,,,,,,"Նալբանդյան փողոց 1/65, Վաղարշապատ","10,000 ֏ daily",AMD,"The first floor of a private house is for short-term rent. Has a separate entrance, parking, yard.The house is provided with all the utilities and necessary accessories.The furniture and equipment is completely new.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16849559
House,Stone,800 sq.m.,2,5,1,Not available,Not available,Old Renovation,200 sq.m.,5,Yes,No,Not included,1 month,Armavir › Argavand,"180,000 ֏ monthly",AMD,"VM083 2-storey, 5-room detached house for RENT, 800/200 sq. M.Uteruscommunications are availablepossible with and without furnitureyardgarden80 square meters of storage spaceTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18098956
House,Stone,130 sq.m.,1,2,1,Available,1 spot,No Renovation,70 sq.m.,4,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"90,000 ֏ monthly",AMD,"AS089:K. A 2-room private house is for rent on Mashtots Street in Etchmiadzin. The house is not renovated, but it is provided with utilities, property, appliances, hot and cold water. The cost is AMD 90,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18138905
House,Stone,300 sq.m.,1,8+,1,,1 spot,Partial Renovation,,2,Yes,Yes,Not included,2 months,Armavir › Echmiadzin,"350,000 ֏ monthly",AMD,"Կոդ VՏ01 լինում է նաև տալ մասնակիՎարձով Է տրվում Սեփական ՏունԷջմիածին Քաղաքում Շուկայի մոտՀարկ 1-2Մակերեսը 300քմՏՈւնը ունի կոմունալ բոլոր հարմարություններ պատուհաններն փոխված, տաք սառը ջուր, արևկողմ բնակարան Տրվում է գույքի, տեխնիկայի հետ` Ունի լողավազան և այլն:",Nov-24-2022_22-59,,,https://list.am/en/item/14029582
Country House,Stone,1000 sq.m.,1,1,1,,Not available,Designer Renovation,,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"60,000 ֏ daily",AMD,"Օրավարձով է տրվում Առանձնատուն Արմավիրի մարզում Երևանի Կենտրոնից 14 կմ հեռավորության վրա։Առանձնատունը ունի բոլոր հարմարությունները՝• Մեծ բակ• Լողավազան• Մանղալ,• 1 սենյակ• Սանհանգույց• Լոգարան• ԽոհանոցՏրվում է միայն ընտանեկան առիթների համար։",Nov-24-2022_22-59,,,https://list.am/en/item/14652917
